media-source,campaign,impressions,clicks,installs appsflyer,installs-ua appsflyer,installs-reattr appsflyer,installs-retarget appsflyer,installs-cost,ecpi appsflyer,revenue activity days cumulative appsflyer,revenue ltv days cumulative appsflyer,roas 1 days cumulative appsflyer,roas 7 days cumulative appsflyer,roas ltv days cumulative appsflyer,retention-rate 1 days on-period appsflyer,retention-rate 3 days on-period appsflyer,unique-users ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER,ecpa ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER,revenue ltv days cumulative appsflyer EVENT_NAME_PLACEHOLDER
organic,None,,,207038,207038,,,,,,2212831.7557703275,,,,,,,,
googleadwords_int,None,,,34205,,,34205,,,,95417.7368503,,,,,,,,
website-thortful,web-promo-code-error,,48149,27155,27155,,,,,,188378.63429388998,,,,,,,,
google_organic_seo,None,,26628,26603,,,26603,,,,101718.46396348,,,,,,,,
googleadwords_int,SER|RET|Brand - Pure Brand - EX,1573,1241,18374,100,42,18232,237.05963200000005,0.012901906607162297,,78249.66568804,,,330.08431265952515,,,,,
googleadwords_int,SHP|ACQ|All Products - Generics,9280818,111393,16942,6,35,16901,32263.889800000004,1.9043731436666276,,32783.83152621,,,1.0161152833534037,,,,,
website-thortful,web-PDP-download-CTA-fday30-202,,24517,13459,13459,,,,,,64643.943044720014,,,,,,,,
website-thortful,web-PDP-MDAY-NEWAPP25,,23473,11836,11836,,,,,,58200.25536852999,,,,,,,,
website-thortful,web-PDP-download-CTA,,19190,11233,11233,,,,,,89421.16995579,,,,,,,,
googleadwords_int,SER|ACQ|Brand - EX,101682,82124,10873,90,67,10716,17196.699126,1.5815965350869126,,38060.169203310004,,,2.213225277970128,,,,,
website-thortful,web-footer-download-button,,19357,8471,8471,,,,,,64343.10454673,,,,,,,,
googleadwords_int,APP|ACQ|Downloads - Android,,,7753,7752,1,,,,,31726.82,,,,,,,,
website-thortful,web-PLP-download-MODAL-mday25,,8416,4881,4570,25,286,,,,33959.106552,,,,,,,,
website-thortful,web-PDP-download-MODAL-fday40-2024,,8246,4654,4654,,,,,,32186.797247740004,,,,,,,,
website-thortful,web-PDP-download-MODAL-fday30-2024,,7468,4129,4129,,,,,,30994.45674137,,,,,,,,
website-thortful,web-PLP-download-modal,,5782,3659,3659,,,,,,35831.35651577,,,,,,,,
website-thortful,web-PLP-download-BANNER-bday-faceswap,,10312,3134,3134,,,,,,21747.359124920004,,,,,,,,
website-thortful,web-PLP-download-MODAL-fday40-2024,,5319,3008,2997,2,9,,,,25220.285088239998,,,,,,,,
Facebook Ads,Vday25 - FS android APPINSTALL - Acquisition – Copy,,,2705,2702,,3,,,,619.18,,,,,,,,
website-thortful,web-PLP-download-MODAL-fday30-2024,,4665,2537,2537,,,,,,21460.316166039996,,,,,,,,
googleadwords_int,SHP|ACQ|Zombie,1032727,12017,2433,6,4,2423,4071.569997,1.6734771874229346,,6185.4860649,,,1.519189420655317,,,,,
website-thortful,web-postpurchase-download-banner-app20,,7530,2078,2078,,,,,,17648.51305366,,,,,,,,
googleadwords_int,SHP|ACQ|Valentine's Day 25,,,2006,,4,2002,,,,4705.19875454,,,,,,,,
website-thortful,web-homepage-download-banne-app20r,,3493,1850,1850,,,,,,12993.883120989998,,,,,,,,
googleadwords_int,SER|ACQ|Birthday - MM,104601,17779,1798,5,7,1786,25888.699459000007,14.398609265294775,,3879.70472168,,,0.14986093557246077,,,,,
googleadwords_int,SHP|ACQ|Christmas 24,,,1787,2,2,1783,,,,3345.3855271400002,,,,,,,,
googleadwords_int,SHP|ACQ|All Products - Brand,5043959,9132,1768,,4,1764,3432.979992,1.9417307647058824,,7549.83928888,,,2.1992086486008278,,,,,
googleadwords_int,Shoptimised | Incremental | Performance Max | All Customers | ACQ,4900285,35578,1667,5,4,1658,11276.333069999997,6.764446952609476,,2674.7287525,,,0.23719845236001005,,,,,
website-thortful,web-account-download-banner-app20,,4991,1635,1635,,,,,,15087.59708244,,,,,,,,
website-thortful,web-PLP-download-MODAL-bday-faceswap,,3294,1362,1362,,,,,,10708.62533289,,,,,,,,
website-thortful,web-postpurchase-download-banner,,4067,1356,1356,,,,,,11335.838129189999,,,,,,,,
website-thortful,web-blog-face-swap,,2044,1287,1287,,,,,,5782.795857440001,,,,,,,,
googleadwords_int,SHP|ACQ|Birthday - Generics,9725311,119316,1202,2,3,1197,38019.679908000006,31.630349341098174,,2314.7453079200004,,,0.06088281946405702,,,,,
Facebook Ads,Valentines24 - Interests - Acquisition,,,1022,819,3,200,,,,5979.33834964,,,,,,,,
googleadwords_int,SER|ACQ|Generic Cards - MM,32206,4801,913,3,1,909,8687.155563999997,9.514956806133622,,2985.9967769099994,,,0.3437254870033775,,,,,
website-thortful,web-blog-download-link,,1886,905,905,,,,,,5094.52155803,,,,,,,,
googleadwords_int,SHP|ACQ|Father's Day 25,,,861,,3,858,,,,2860.29727659,,,,,,,,
impactradius_int,GET35OFFAPP,,3514,831,231,15,585,,,,6843.23344711,,,,,,,,
