media-source,campaign,impressions,clicks,installs appsflyer,installs-ua appsflyer,installs-reattr appsflyer,installs-retarget appsflyer,installs-cost,ecpi appsflyer,revenue activity days cumulative appsflyer,revenue ltv days cumulative appsflyer,roas 1 days cumulative appsflyer,roas 7 days cumulative appsflyer,roas ltv days cumulative appsflyer,retention-rate 1 days on-period appsflyer,retention-rate 3 days on-period appsflyer,unique-users ltv days cumulative appsflyer Screen Viewed,ecpa ltv days cumulative appsflyer Screen Viewed,revenue ltv days cumulative appsflyer Screen Viewed,unique-users ltv days cumulative appsflyer Application Foregrounded,ecpa ltv days cumulative appsflyer Application Foregrounded,revenue ltv days cumulative appsflyer Application Foregrounded
organic,None,,,7060,7060,,,,,298383.6425946601,28538.580495029997,,,,0.11218130311614731,0.04872521246458923,5048,,0.0,5096,,0.0
website-thortful,web-promo-code-error,,2445,1484,1484,,,,,9702.26412972,7237.509744049999,,,,0.09029649595687332,0.03908355795148248,974,,0.0,969,,0.0
googleadwords_int,SER|RET|Brand - Pure Brand - EX,,,1483,8,7,1468,,,6918.5958902,6670.5708159999995,,,,0.10316925151719487,0.030343897505057317,809,,0.0,671,,0.0
google_organic_seo,None,,1364,1366,,,1366,,,5208.70657801,4645.05307236,,,,0.11493411420204978,0.04904831625183016,750,,0.0,757,,0.0
googleadwords_int,SHP|ACQ|All Products - Generics,,,998,,3,995,,,1877.52458226,1761.7014445100003,,,,0.07014028056112225,0.028056112224448898,546,,0.0,489,,0.0
bloomreach,BAU,,6721,448,448,,,,,1769.4933154299997,1628.84993482,,,,0.10044642857142858,0.046875,284,,0.0,284,,0.0
website-thortful,web-PLP-download-BANNER-bday-faceswap,,1340,386,386,,,,,3184.87921604,1624.07637054,,,,0.11917098445595854,0.08808290155440414,248,,0.0,248,,0.0
googleadwords_int,Shoptimised | Incremental | Performance Max | All Customers | ACQ,,,360,1,1,358,,,601.5505392200001,562.53348422,,,,0.06111111111111111,0.022222222222222223,99,,,85,,
googleadwords_int,APP|ACQ|Downloads - Android,,,264,264,,,,,480.46000000000015,156.82,,,,0.0946969696969697,0.030303030303030304,,,,,,
website-thortful,web-PDP-download-CTA-fday30-202,,435,257,257,,,,,3806.7895155300002,997.1516288299999,,,,0.07392996108949416,0.07782101167315175,194,,0.0,194,,0.0
googleadwords_int,SER|ACQ|Brand - EX,,,234,1,,233,,,923.0341089,856.7941089000001,,,,0.08974358974358974,0.01282051282051282,197,,,164,,
googleadwords_int,SHP|ACQ|Anniversary,,,204,,,204,,,337.7869358,320.4369358,,,,0.06862745098039216,0.0196078431372549,123,,,112,,
googleadwords_int,SER|RET|Brand - Long Tail Brand - BR,,,150,7,3,140,,,547.02962703,477.59962702999997,,,,0.14,0.02666666666666667,93,,,74,,
website-thortful,web-postpurchase-download-banner-app20,,332,117,117,,,,,1287.1594943700002,222.19488352,,,,0.06837606837606838,0.05128205128205128,64,,0.0,63,,0.0
