Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Cost,Average eCPI
2025-07-14,None,Facebook Ads,Retention_Summer25_Cardpacks,N/A,N/A,N/A,1,N/A,7,1,1.0000,N/A,N/A
2025-07-14,None,Organic,None,N/A,N/A,N/A,236,N/A,0,206,0.8729,N/A,N/A
2025-07-14,None,QR_code,Face-swap-flyer-14-Jan,N/A,1,N/A,1,1.0000,6,1,1.0000,N/A,N/A
2025-07-14,None,bloomreach,BAU_F_020625_FDThePerfectCard,N/A,4,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-14,None,bloomreach,BAU_F_210525_Faceswap,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-14,None,bloomreach,BAU_G_120525_ThisisThat,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-14,None,transactional_postmark,footer-transactional,N/A,N/A,N/A,2,N/A,11,2,1.0000,N/A,N/A
2025-07-14,None,website-thortful,web-PDP-download-CTA-fday30-202,N/A,139,N/A,85,0.6115,511,78,0.9176,N/A,N/A
2025-07-14,None,website-thortful,web-PLP-download-BANNER-bday-faceswap,N/A,45,N/A,9,0.2000,68,9,1.0000,N/A,N/A
2025-07-14,None,website-thortful,web-account-download-banner-app20,N/A,12,N/A,4,0.3333,20,4,1.0000,N/A,N/A
2025-07-14,None,website-thortful,web-blog-download-link,N/A,5,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-14,None,website-thortful,web-blog-face-swap,N/A,2,N/A,2,1.0000,14,2,1.0000,N/A,N/A
2025-07-14,None,website-thortful,web-footer-download-button,N/A,5,N/A,2,0.4000,14,2,1.0000,N/A,N/A
2025-07-14,None,website-thortful,web-homepage-download-banne-app20r,N/A,3,N/A,2,0.6667,10,2,1.0000,N/A,N/A
2025-07-14,None,website-thortful,web-postpurchase-download-banner-app20,N/A,15,N/A,4,0.2667,23,2,0.5000,N/A,N/A
2025-07-14,None,website-thortful,web-promo-code-error,N/A,83,N/A,41,0.4940,277,39,0.9512,N/A,N/A
2025-07-15,None,Organic,None,N/A,N/A,N/A,209,N/A,0,162,0.7751,N/A,N/A
2025-07-15,None,QR_code,Face-swap-flyer-14-Jan,N/A,2,N/A,1,0.5000,6,1,1.0000,N/A,N/A
2025-07-15,None,bloomreach,BAU_F_020625_FDThePerfectCard,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-15,None,transactional_postmark,footer-transactional,N/A,N/A,N/A,1,N/A,2,0,0.0000,N/A,N/A
2025-07-15,None,website-thortful,web-PDP-MDAY-NEWAPP25,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-15,None,website-thortful,web-PDP-download-CTA-fday30-202,N/A,131,N/A,90,0.6870,521,85,0.9444,N/A,N/A
2025-07-15,None,website-thortful,web-PLP-download-BANNER-bday-faceswap,N/A,27,N/A,5,0.1852,32,5,1.0000,N/A,N/A
2025-07-15,None,website-thortful,web-account-download-banner-app20,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-15,None,website-thortful,web-blog-face-swap,N/A,3,N/A,1,0.3333,2,0,0.0000,N/A,N/A
2025-07-15,None,website-thortful,web-footer-download-button,N/A,4,N/A,3,0.7500,23,3,1.0000,N/A,N/A
2025-07-15,None,website-thortful,web-homepage-download-banne-app20r,N/A,7,N/A,4,0.5714,18,3,0.7500,N/A,N/A
2025-07-15,None,website-thortful,web-postpurchase-download-banner-app20,N/A,11,N/A,3,0.2727,19,3,1.0000,N/A,N/A
2025-07-15,None,website-thortful,web-promo-code-error,N/A,68,N/A,36,0.5294,229,36,1.0000,N/A,N/A
2025-07-16,None,Organic,None,N/A,N/A,N/A,200,N/A,0,160,0.8000,N/A,N/A
2025-07-16,None,bloomreach,BAU_F_020625_FDThePerfectCard,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-16,None,bloomreach,BAU_G_120525_ThisisThat,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-16,None,website-thortful,web-PDP-MDAY-NEWAPP25,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-16,None,website-thortful,web-PDP-download-CTA-fday30-202,N/A,110,N/A,62,0.5636,397,61,0.9839,N/A,N/A
2025-07-16,None,website-thortful,web-PLP-download-BANNER-bday-faceswap,N/A,26,N/A,7,0.2692,49,7,1.0000,N/A,N/A
2025-07-16,None,website-thortful,web-account-download-banner-app20,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-16,None,website-thortful,web-blog-download-link,N/A,8,N/A,4,0.5000,16,2,0.5000,N/A,N/A
2025-07-16,None,website-thortful,web-footer-download-button,N/A,7,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-16,None,website-thortful,web-homepage-download-banne-app20r,N/A,6,N/A,4,0.6667,27,4,1.0000,N/A,N/A
2025-07-16,None,website-thortful,web-postpurchase-download-banner-app20,N/A,7,N/A,1,0.1429,6,1,1.0000,N/A,N/A
2025-07-16,None,website-thortful,web-promo-code-error,N/A,54,N/A,26,0.4815,143,25,0.9615,N/A,N/A
2025-07-17,None,Organic,None,N/A,N/A,N/A,171,N/A,0,145,0.8480,N/A,N/A
2025-07-17,None,Social_Influencers,pr-general-face-swap-2025-01-27,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-17,None,bloomreach,BAU_F_020625_FDThePerfectCard,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-17,None,bloomreach,BAU_G_120525_ThisisThat,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-17,None,website-thortful,web-PDP-download-CTA-fday30-202,N/A,125,N/A,80,0.6400,527,80,1.0000,N/A,N/A
2025-07-17,None,website-thortful,web-PLP-download-BANNER-bday-faceswap,N/A,26,N/A,3,0.1154,21,2,0.6667,N/A,N/A
2025-07-17,None,website-thortful,web-account-download-banner-app20,N/A,5,N/A,1,0.2000,6,1,1.0000,N/A,N/A
2025-07-17,None,website-thortful,web-blog-download-link,N/A,3,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-17,None,website-thortful,web-blog-face-swap,N/A,2,N/A,2,1.0000,12,2,1.0000,N/A,N/A
2025-07-17,None,website-thortful,web-footer-download-button,N/A,9,N/A,4,0.4444,21,3,0.7500,N/A,N/A
2025-07-17,None,website-thortful,web-homepage-download-banne-app20r,N/A,4,N/A,4,1.0000,24,4,1.0000,N/A,N/A
2025-07-17,None,website-thortful,web-postpurchase-download-banner-app20,N/A,11,N/A,1,0.0909,4,1,1.0000,N/A,N/A
2025-07-17,None,website-thortful,web-promo-code-error,N/A,57,N/A,32,0.5614,186,30,0.9375,N/A,N/A
2025-07-18,None,Facebook Ads,Retention_Summer25_Anniversary,N/A,N/A,N/A,1,N/A,6,1,1.0000,N/A,N/A
2025-07-18,None,Organic,None,N/A,N/A,N/A,133,N/A,0,109,0.8195,N/A,N/A
2025-07-18,None,Social_Influencers,pr-general-face-swap-2025-01-27,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-18,None,bloomreach,BAU_F_020625_FDThePerfectCard,N/A,3,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-18,None,bloomreach,BAU_G_120525_ThisisThat,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-07-18,None,bloomreach,BAU_M_050325_MDfaceswap,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
