Date,Agency/PMD (af_prt),Media Source (pid),Campaign (c),Impressions,Clicks,CTR,Installs,Conversion Rate,Sessions,Loyal Users,Loyal Users/Installs,Total Cost,Average eCPI
2025-01-13,None,Facebook Ads,Jan25 - Apptest - Retention,N/A,N/A,N/A,1,N/A,10,1,1.0000,N/A,N/A
2025-01-13,None,Facebook Ads,Vday25 - Interests - Acquisition,N/A,N/A,N/A,1,N/A,11,1,1.0000,N/A,N/A
2025-01-13,None,Organic,None,N/A,N/A,N/A,232,N/A,0,189,0.8147,N/A,N/A
2025-01-13,None,bloomreach,BAU,N/A,3,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-13,None,website-thortful,web-account-download-banner-app20,N/A,10,N/A,5,0.5000,63,4,0.8000,N/A,N/A
2025-01-13,None,website-thortful,web-blog-download-link,N/A,3,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-13,None,website-thortful,web-footer-download-button,N/A,18,N/A,7,0.3889,38,6,0.8571,N/A,N/A
2025-01-13,None,website-thortful,web-homepage-download-banne-app20r,N/A,4,N/A,2,0.5000,17,2,1.0000,N/A,N/A
2025-01-13,None,website-thortful,web-postpurchase-download-banner-app20,N/A,12,N/A,8,0.6667,73,6,0.7500,N/A,N/A
2025-01-13,None,website-thortful,web-promo-code-error,N/A,88,N/A,51,0.5795,488,45,0.8824,N/A,N/A
2025-01-14,None,Facebook Ads,Vday25 - hero - Retention,N/A,N/A,N/A,1,N/A,14,1,1.0000,N/A,N/A
2025-01-14,None,Organic,None,N/A,N/A,N/A,202,N/A,0,167,0.8267,N/A,N/A
2025-01-14,None,QR_code,Face-swap-flyer-14-Jan,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-14,None,bloomreach,BAU,N/A,1,N/A,1,1.0000,4,1,1.0000,N/A,N/A
2025-01-14,None,website-thortful,web-account-download-banner-app20,N/A,4,N/A,3,0.7500,32,3,1.0000,N/A,N/A
2025-01-14,None,website-thortful,web-blog-download-link,N/A,3,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-14,None,website-thortful,web-footer-download-button,N/A,21,N/A,6,0.2857,44,5,0.8333,N/A,N/A
2025-01-14,None,website-thortful,web-homepage-download-banne-app20r,N/A,2,N/A,2,1.0000,11,2,1.0000,N/A,N/A
2025-01-14,None,website-thortful,web-postpurchase-download-banner-app20,N/A,17,N/A,6,0.3529,42,5,0.8333,N/A,N/A
2025-01-14,None,website-thortful,web-promo-code-error,N/A,66,N/A,44,0.6667,334,42,0.9545,N/A,N/A
2025-01-15,None,Facebook Ads,Jan25 - Apptest - Retention,N/A,N/A,N/A,2,N/A,9,1,0.5000,N/A,N/A
2025-01-15,None,Facebook Ads,Vday25 - Demographics - Acquisition,N/A,N/A,N/A,1,N/A,36,1,1.0000,N/A,N/A
2025-01-15,None,Organic,None,N/A,N/A,N/A,194,N/A,0,165,0.8505,N/A,N/A
2025-01-15,None,website-thortful,web-account-download-banner-app20,N/A,8,N/A,3,0.3750,24,3,1.0000,N/A,N/A
2025-01-15,None,website-thortful,web-blog-download-link,N/A,1,N/A,1,1.0000,6,1,1.0000,N/A,N/A
2025-01-15,None,website-thortful,web-footer-download-button,N/A,30,N/A,11,0.3667,110,11,1.0000,N/A,N/A
2025-01-15,None,website-thortful,web-homepage-download-banne-app20r,N/A,3,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-15,None,website-thortful,web-postpurchase-download-banner-app20,N/A,11,N/A,3,0.2727,34,3,1.0000,N/A,N/A
2025-01-15,None,website-thortful,web-promo-code-error,N/A,88,N/A,53,0.6023,374,49,0.9245,N/A,N/A
2025-01-16,None,Facebook Ads,Valentines25 - Apptestinstall - Acquisition,N/A,N/A,N/A,2,N/A,9,1,0.5000,N/A,N/A
2025-01-16,None,Facebook Ads,Vday25 - Interests - Acquisition,N/A,N/A,N/A,1,N/A,6,1,1.0000,N/A,N/A
2025-01-16,None,Facebook Ads,Vday25 - Interests - Retention,N/A,N/A,N/A,1,N/A,7,1,1.0000,N/A,N/A
2025-01-16,None,Organic,None,N/A,N/A,N/A,262,N/A,0,216,0.8244,N/A,N/A
2025-01-16,None,bloomreach,BAU,N/A,1,N/A,1,1.0000,2,1,1.0000,N/A,N/A
2025-01-16,None,tiktokglobal_int,Valentines25 - AppInstall - promotion,N/A,N/A,N/A,3,N/A,20,2,0.6667,N/A,N/A
2025-01-16,None,website-thortful,web-account-download-banner-app20,N/A,6,N/A,2,0.3333,23,2,1.0000,N/A,N/A
2025-01-16,None,website-thortful,web-blog-download-link,N/A,4,N/A,1,0.2500,9,1,1.0000,N/A,N/A
2025-01-16,None,website-thortful,web-footer-download-button,N/A,26,N/A,4,0.1538,55,4,1.0000,N/A,N/A
2025-01-16,None,website-thortful,web-homepage-download-banne-app20r,N/A,7,N/A,1,0.1429,3,0,0.0000,N/A,N/A
2025-01-16,None,website-thortful,web-postpurchase-download-banner-app20,N/A,14,N/A,2,0.1429,18,2,1.0000,N/A,N/A
2025-01-16,None,website-thortful,web-promo-code-error,N/A,82,N/A,49,0.5976,348,47,0.9592,N/A,N/A
2025-01-17,None,Facebook Ads,Vday25 - Interests - Retention,N/A,N/A,N/A,1,N/A,5,1,1.0000,N/A,N/A
2025-01-17,None,Facebook Ads,Vday25 - Online Overwhelmed - Acquisition,N/A,N/A,N/A,1,N/A,20,1,1.0000,N/A,N/A
2025-01-17,None,Organic,None,N/A,N/A,N/A,190,N/A,0,158,0.8316,N/A,N/A
2025-01-17,None,QR_code,Face-swap-flyer-14-Jan,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-17,None,emarsys,None,N/A,8,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-17,None,emarsys,app40_postpurchase,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-17,None,tiktokglobal_int,Valentines25 - AppInstall - promotion,N/A,N/A,N/A,2,N/A,17,1,0.5000,N/A,N/A
2025-01-17,None,transactional_postmark,footer-transactional,N/A,N/A,N/A,1,N/A,27,1,1.0000,N/A,N/A
2025-01-17,None,website-thortful,web-PLP-download-BANNER-vday-faceswap,N/A,N/A,N/A,3,N/A,25,3,1.0000,N/A,N/A
2025-01-17,None,website-thortful,web-PLP-download-MODAL-vday-faceswap,N/A,12,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-17,None,website-thortful,web-account-download-banner-app20,N/A,8,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-17,None,website-thortful,web-blog-download-link,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-17,None,website-thortful,web-footer-download-button,N/A,9,N/A,3,0.3333,40,3,1.0000,N/A,N/A
2025-01-17,None,website-thortful,web-homepage-download-BANNER-vday-faceswap,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-17,None,website-thortful,web-homepage-download-banne-app20r,N/A,5,N/A,3,0.6000,19,3,1.0000,N/A,N/A
2025-01-17,None,website-thortful,web-postpurchase-download-banner-app20,N/A,7,N/A,2,0.2857,39,2,1.0000,N/A,N/A
2025-01-17,None,website-thortful,web-promo-code-error,N/A,48,N/A,26,0.5417,220,24,0.9231,N/A,N/A
2025-01-18,None,Facebook Ads,Vday25 - Catalogue - Retention,N/A,N/A,N/A,1,N/A,12,1,1.0000,N/A,N/A
2025-01-18,None,Organic,None,N/A,N/A,N/A,144,N/A,0,116,0.8056,N/A,N/A
2025-01-18,None,bloomreach,BAU,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-18,None,emarsys,None,N/A,9,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-18,None,website-thortful,web-PLP-download-MODAL-vday-faceswap,N/A,1,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-18,None,website-thortful,web-account-download-banner-app20,N/A,2,N/A,1,0.5000,7,1,1.0000,N/A,N/A
2025-01-18,None,website-thortful,web-blog-download-link,N/A,2,N/A,0,0.0000,0,0,N/A,N/A,N/A
2025-01-18,None,website-thortful,web-footer-download-button,N/A,11,N/A,3,0.2727,20,2,0.6667,N/A,N/A
2025-01-18,None,website-thortful,web-homepage-download-banne-app20r,N/A,7,N/A,4,0.5714,32,4,1.0000,N/A,N/A
2025-01-18,None,website-thortful,web-postpurchase-download-banner-app20,N/A,10,N/A,2,0.2000,13,2,1.0000,N/A,N/A
2025-01-18,None,website-thortful,web-promo-code-error,N/A,61,N/A,40,0.6557,273,37,0.9250,N/A,N/A
2025-01-19,None,Facebook Ads,Vday25 - Demographics - Acquisition,N/A,N/A,N/A,1,N/A,5,1,1.0000,N/A,N/A
2025-01-19,None,Facebook Ads,Vday25 - Interests - Retention,N/A,N/A,N/A,1,N/A,8,1,1.0000,N/A,N/A
2025-01-19,None,Organic,None,N/A,N/A,N/A,219,N/A,0,190,0.8676,N/A,N/A
2025-01-19,None,transactional_postmark,footer-transactional,N/A,N/A,N/A,1,N/A,10,1,1.0000,N/A,N/A
2025-01-19,None,website-thortful,web-account-download-banner-app20,N/A,7,N/A,2,0.2857,15,2,1.0000,N/A,N/A
2025-01-19,None,website-thortful,web-footer-download-button,N/A,14,N/A,2,0.1429,20,2,1.0000,N/A,N/A
2025-01-19,None,website-thortful,web-homepage-download-banne-app20r,N/A,4,N/A,3,0.7500,24,3,1.0000,N/A,N/A
2025-01-19,None,website-thortful,web-postpurchase-download-banner-app20,N/A,7,N/A,2,0.2857,14,0,0.0000,N/A,N/A
2025-01-19,None,website-thortful,web-promo-code-error,N/A,83,N/A,54,0.6506,432,50,0.9259,N/A,N/A
