media-source,date,installs appsflyer
organic,2025-07-15,293
organic,2025-07-14,291
organic,2025-07-20,266
organic,2025-07-16,263
organic,2025-07-17,225
website-thortful,2025-07-14,206
googleadwords_int,2025-07-15,201
googleadwords_int,2025-07-14,198
website-thortful,2025-07-15,196
organic,2025-07-18,193
organic,2025-07-19,183
googleadwords_int,2025-07-20,177
website-thortful,2025-07-17,172
googleadwords_int,2025-07-16,169
googleadwords_int,2025-07-17,156
website-thortful,2025-07-16,151
googleadwords_int,2025-07-18,144
website-thortful,2025-07-19,135
website-thortful,2025-07-20,134
googleadwords_int,2025-07-19,133
website-thortful,2025-07-18,126
google_organic_seo,2025-07-20,59
google_organic_seo,2025-07-15,51
google_organic_seo,2025-07-19,49
google_organic_seo,2025-07-14,48
google_organic_seo,2025-07-17,42
google_organic_seo,2025-07-18,36
google_organic_seo,2025-07-16,32
duckduckgo_organic_seo,2025-07-20,5
Facebook Ads,2025-07-16,3
card-back-thortful,2025-07-19,2
Facebook Ads,2025-07-17,2
transactional_postmark,2025-07-15,2
transactional_postmark,2025-07-14,2
yahoo_organic_seo,2025-07-19,2
transactional_postmark,2025-07-17,2
Facebook Ads,2025-07-18,2
QR_code,2025-07-15,2
Facebook Ads,2025-07-15,2
QR_code,2025-07-14,2
Facebook Ads,2025-07-14,2
duckduckgo_organic_seo,2025-07-17,1
yahoo_organic_seo,2025-07-14,1
ecosia_organic_seo,2025-07-14,1
Facebook Ads,2025-07-20,1
yahoo_organic_seo,2025-07-16,1
Facebook Ads,2025-07-19,1
bing_organic_seo,2025-07-20,1
duckduckgo_organic_seo,2025-07-15,1
bing_organic_seo,2025-07-15,1
impactradius_int,2025-07-14,1
transactional_postmark,2025-07-16,
bloomreach,2025-07-17,
bloomreach,2025-07-16,
Social_Influencers,2025-07-17,
bloomreach,2025-07-15,
transactional_postmark,2025-07-19,
Social_Influencers,2025-07-18,
bloomreach,2025-07-20,
transactional_postmark,2025-07-18,
Social_Influencers,2025-07-19,
bloomreach,2025-07-14,
bloomreach,2025-07-18,
transactional_postmark,2025-07-20,
