media-source,date,installs appsflyer
organic,2025-08-26,298
organic,2025-08-28,289
organic,2025-08-27,278
organic,2025-08-31,248
organic,2025-08-25,220
organic,2025-08-29,200
organic,2025-08-30,193
googleadwords_int,2025-08-26,109
website-thortful,2025-08-26,95
googleadwords_int,2025-08-28,94
googleadwords_int,2025-08-31,92
googleadwords_int,2025-08-25,90
website-thortful,2025-08-28,89
googleadwords_int,2025-08-29,85
googleadwords_int,2025-08-27,84
googleadwords_int,2025-08-30,84
website-thortful,2025-08-31,79
website-thortful,2025-08-25,63
website-thortful,2025-08-27,62
website-thortful,2025-08-30,61
website-thortful,2025-08-29,57
google_organic_seo,2025-08-26,43
google_organic_seo,2025-08-27,31
google_organic_seo,2025-08-25,25
google_organic_seo,2025-08-28,22
bloomreach,2025-08-26,21
google_organic_seo,2025-08-29,20
google_organic_seo,2025-08-31,18
google_organic_seo,2025-08-30,16
bloomreach,2025-08-28,8
bloomreach,2025-08-25,8
bloomreach,2025-08-27,5
Facebook Ads,2025-08-27,5
Facebook Ads,2025-08-28,5
Facebook Ads,2025-08-26,3
bloomreach,2025-08-31,3
bloomreach,2025-08-30,3
duckduckgo_organic_seo,2025-08-27,2
Facebook Ads,2025-08-25,2
transactional_postmark,2025-08-29,2
bloomreach,2025-08-29,2
QR_code,2025-08-27,1
transactional_postmark,2025-08-28,1
card-back-thortful,2025-08-30,1
transactional_postmark,2025-08-31,1
transactional_postmark,2025-08-26,1
QR_code,2025-08-29,1
card-back-thortful,2025-08-27,1
card-back-thortful,2025-08-28,1
Facebook Ads,2025-08-31,1
Facebook Ads,2025-08-30,1
Facebook Ads,2025-08-29,1
impactradius_int,2025-08-31,
QR_code,2025-08-31,
transactional_postmark,2025-08-30,
QR_code,2025-08-30,
transactional_postmark,2025-08-25,
None,2025-08-30,
emarsys,2025-08-31,
Social_Influencers,2025-08-28,
transactional_postmark,2025-08-27,
